Lun-00	18000	6.03	14.6	21.0	0.5	68.9
Lun-01	8921	5.56	13.8	20.4	0.1	63.9
Lun-02	4970	4.28	12.4	18.3	0.4	66.1
Lun-03	3533	4.91	13.1	19.5	1.4	66.1
Lun-04	3677	6.20	15.0	21.8	0.2	74.5
Lun-05	7211	6.35	15.6	20.8	0.1	68.7
Lun-06	19828	5.25	16.0	16.9	0.1	58.4
Lun-07	38602	3.93	15.7	13.5	0.1	64.2
Lun-08	52055	3.29	15.4	11.4	0.2	75.1
Lun-09	54754	3.33	15.2	11.5	0.2	66.2
Lun-10	56717	3.36	15.1	11.5	0.2	55.1
Lun-11	59573	3.33	15.0	11.3	0.1	71.6
Lun-12	64181	3.38	14.9	11.5	0.1	64.8
Lun-13	66340	3.65	15.4	11.7	0.2	61.3
Lun-14	73458	3.80	16.6	11.3	0.1	62.1
Lun-15	76228	3.64	16.7	10.9	0.1	68.2
Lun-16	75515	3.71	16.4	11.4	0.1	79.1
Lun-17	82426	3.47	15.6	11.2	0.2	79.0
Lun-18	83259	3.11	13.5	11.8	0.3	73.8
Lun-19	70376	3.54	13.0	13.5	0.1	63.5
Lun-20	61067	3.74	12.9	14.6	0.1	67.7
Lun-21	56182	4.04	13.1	15.5	0.7	68.8
Lun-22	44939	4.61	14.1	16.5	0.2	60.2
Lun-23	28632	5.56	14.9	19.1	0.6	60.1
Mar-00	15226	5.96	15.0	20.3	1.2	69.7
Mar-01	6885	5.83	14.5	20.5	0.6	74.2
Mar-02	3620	5.27	13.9	19.6	1.0	63.3
Mar-03	2488	6.06	14.8	21.1	1.1	63.0
Mar-04	2882	6.78	15.8	22.6	0.2	72.0
Mar-05	7620	5.81	15.1	19.6	0.1	59.3
Mar-06	22908	4.40	15.1	15.2	0.3	71.3
Mar-07	48244	3.22	14.6	12.0	0.1	74.3
Mar-08	65428	2.86	15.5	10.0	0.1	72.0
Mar-09	67927	2.92	15.8	9.8	0.1	54.5
Mar-10	66619	3.01	16.1	9.8	0.0	59.6
Mar-11	67830	2.91	16.2	9.5	0.1	58.9
Mar-12	71340	3.04	15.9	9.9	0.1	61.6
Mar-13	73189	3.22	16.1	10.2	0.1	53.9
Mar-14	80259	3.42	16.9	10.1	0.1	76.5
Mar-15	83050	3.27	17.1	9.7	0.1	60.0
Mar-16	82425	3.35	16.8	10.1	0.1	64.9
Mar-17	93319	3.07	15.8	10.1	0.2	78.9
Mar-18	98648	2.81	14.0	10.6	0.1	67.7
Mar-19	84427	3.14	13.0	12.5	0.2	67.0
Mar-20	76763	3.34	12.7	13.6	0.1	70.7
Mar-21	76831	3.46	12.9	14.1	0.4	76.5
Mar-22	62248	3.81	13.5	14.8	0.1	78.0
Mar-23	39888	4.39	13.9	16.4	0.3	70.5
Mer-00	20360	4.92	14.1	17.9	0.6	79.8
Mer-01	9083	4.51	12.9	18.1	0.4	56.2
Mer-02	4572	4.17	12.5	17.7	0.1	53.6
Mer-03	3066	5.01	13.3	19.4	0.8	59.2
Mer-04	3403	6.98	16.0	22.8	0.1	77.6
Mer-05	7752	6.03	15.1	20.3	0.1	62.9
Mer-06	22634	4.35	14.5	15.6	0.1	68.3
Mer-07	49110	3.36	14.7	12.3	0.2	73.8
Mer-08	67086	2.88	15.2	10.2	0.1	77.1
Mer-09	68625	2.92	15.8	9.9	0.1	65.0
Mer-10	67745	2.96	16.1	9.7	0.1	54.9
Mer-11	69752	2.92	16.4	9.4	0.1	73.6
Mer-12	75233	3.03	16.5	9.6	0.1	73.4
Mer-13	78125	3.23	16.9	9.8	0.1	67.5
Mer-14	84335	3.46	17.8	9.7	0.1	75.3
Mer-15	86192	3.27	17.9	9.3	0.1	66.0
Mer-16	86407	3.31	17.7	9.6	0.0	69.7
Mer-17	96608	3.05	16.8	9.5	0.2	72.3
Mer-18	106135	2.78	14.8	10.0	0.1	49.8
Mer-19	95009	3.09	13.5	11.8	0.1	78.1
Mer-20	84884	3.28	13.1	13.0	0.3	70.0
Mer-21	83768	3.42	13.1	13.8	0.4	61.8
Mer-22	72484	3.64	13.7	14.1	0.2	73.1
Mer-23	46291	4.21	13.9	15.8	0.1	77.7
Jeu-00	24680	4.53	13.6	17.1	0.4	66.0
Jeu-01	12010	4.35	12.7	17.7	0.9	68.2
Jeu-02	6442	3.89	12.0	17.2	1.3	62.3
Jeu-03	4080	4.48	12.8	18.3	1.6	72.9
Jeu-04	4058	6.55	15.6	21.9	0.3	57.5
Jeu-05	7816	5.94	15.1	20.0	0.2	56.8
Jeu-06	23269	4.42	14.7	15.7	0.2	52.3
Jeu-07	49761	3.39	15.0	12.2	0.1	59.6
Jeu-08	67528	2.84	15.2	10.1	0.4	54.8
Jeu-09	69759	2.88	15.9	9.7	0.1	75.5
Jeu-10	68682	2.97	16.3	9.6	0.1	62.1
Jeu-11	73840	2.98	16.7	9.3	0.1	68.3
Jeu-12	77423	3.07	16.8	9.5	0.1	59.8
Jeu-13	78947	3.34	17.1	9.9	0.1	56.2
Jeu-14	87629	3.50	18.3	9.6	0.3	76.7
Jeu-15	90374	3.38	18.6	9.2	0.1	55.7
Jeu-16	89535	3.49	19.0	9.4	0.1	68.3
Jeu-17	100246	3.12	17.7	9.3	0.1	69.5
Jeu-18	110607	2.86	15.8	9.6	0.3	71.6
Jeu-19	95184	3.10	14.4	11.2	0.1	71.4
Jeu-20	87922	3.37	14.0	12.5	0.4	59.3
Jeu-21	88687	3.36	13.6	13.1	0.2	77.3
Jeu-22	80174	3.63	14.1	13.7	0.4	77.0
Jeu-23	59876	4.05	14.0	15.1	0.1	79.7
Ven-00	36818	4.01	13.3	15.8	0.1	70.2
Ven-01	20466	3.74	12.3	16.1	0.3	55.2
Ven-02	11558	3.52	11.8	16.1	0.6	61.6
Ven-03	6713	3.99	12.3	17.2	0.5	69.7
Ven-04	5638	5.92	14.8	20.9	0.1	54.5
Ven-05	8205	6.42	15.6	20.9	0.1	58.1
Ven-06	20382	5.02	15.8	16.3	0.1	76.8
Ven-07	41415	3.63	15.1	12.7	0.1	68.0
Ven-08	54525	3.10	14.7	11.0	0.2	68.1
Ven-09	60518	3.21	15.3	10.8	0.2	78.0
Ven-10	62949	3.18	15.6	10.6	0.2	74.8
Ven-11	66629	3.10	15.8	10.2	0.1	78.9
Ven-12	72154	3.24	15.9	10.4	0.1	56.1
Ven-13	76120	3.40	16.5	10.4	0.2	73.3
Ven-14	85501	3.59	18.1	10.0	0.2	71.5
Ven-15	86760	3.40	18.5	9.5	0.2	62.0
Ven-16	86401	3.44	18.0	9.8	0.2	72.8
Ven-17	98040	3.13	16.2	10.0	0.4	62.9
Ven-18	103451	2.87	14.5	10.4	0.3	62.9
Ven-19	100225	2.98	14.1	11.0	0.0	74.3
Ven-20	80618	3.13	13.9	11.7	0.1	77.1
Ven-21	80078	3.27	14.0	12.2	0.5	72.5
Ven-22	84190	3.31	14.5	12.2	0.3	65.1
Ven-23	79076	3.48	14.5	12.8	0.1	70.8
Sam-00	62038	3.27	13.6	13.0	0.3	77.8
Sam-01	49698	2.97	12.3	13.3	0.1	68.0
Sam-02	35936	2.91	11.7	13.8	0.7	60.1
Sam-03	22380	3.15	11.7	14.9	0.5	58.6
Sam-04	11177	4.10	12.8	17.1	0.7	68.3
Sam-05	5274	6.67	15.2	22.1	0.3	60.2
Sam-06	9397	6.14	14.0	21.6	0.4	60.8
Sam-07	15411	5.09	12.9	19.5	0.2	60.7
Sam-08	24938	3.79	11.5	16.5	0.1	65.9
Sam-09	39038	3.23	11.3	14.7	0.1	69.8
Sam-10	51782	2.95	11.6	13.3	0.2	73.3
Sam-11	62268	2.80	12.3	12.0	0.2	79.6
Sam-12	69979	2.90	13.3	11.5	0.2	56.8
Sam-13	73218	3.02	14.3	11.1	0.3	72.6
Sam-14	74100	3.32	15.3	11.1	0.3	77.2
Sam-15	77289	3.22	15.5	10.7	0.2	51.8
Sam-16	80058	3.19	15.9	10.5	0.2	64.1
Sam-17	81738	3.09	15.9	10.2	0.2	78.7
Sam-18	84378	2.93	15.4	10.2	0.4	59.6
Sam-19	82808	2.92	15.3	10.3	0.3	76.2
Sam-20	67951	3.11	14.7	11.2	0.2	59.0
Sam-21	68539	3.24	14.5	11.8	0.2	62.3
Sam-22	75270	3.31	14.8	12.0	0.4	56.9
Sam-23	74619	3.33	14.5	12.5	0.2	68.1
Dim-00	69933	3.17	13.5	13.0	0.4	72.0
Dim-01	59153	3.03	13.6	13.2	0.1	59.8
Dim-02	41328	3.04	12.1	14.1	1.1	69.7
Dim-03	31580	3.24	12.0	15.0	0.2	77.5
Dim-04	17230	3.99	12.8	16.8	0.5	64.0
Dim-05	6923	6.54	15.3	22.0	1.3	61.3
Dim-06	9964	6.84	14.8	23.4	1.1	63.4
Dim-07	14575	5.78	13.2	21.8	0.7	64.3
Dim-08	21395	4.46	11.7	19.0	0.7	67.7
Dim-09	34485	3.81	11.4	16.9	0.1	75.6
Dim-10	50321	3.52	11.8	15.3	0.7	74.6
Dim-11	59677	3.30	12.4	13.8	0.5	78.8
Dim-12	68729	3.46	13.7	13.1	0.2	69.5
Dim-13	71557	3.70	14.9	12.6	0.1	69.2
Dim-14	74323	3.92	16.2	12.2	0.2	64.0
Dim-15	71635	4.05	16.7	12.2	0.1	74.3
Dim-16	73353	4.01	16.7	12.1	0.1	73.3
Dim-17	73319	3.92	16.3	12.2	0.3	76.9
Dim-18	68613	3.62	15.0	12.4	0.2	79.2
Dim-19	57734	4.02	14.6	13.8	0.3	74.7
Dim-20	50957	4.25	14.2	15.0	0.3	63.4
Dim-21	48558	4.68	14.2	16.4	0.2	59.4
Dim-22	42352	5.15	14.5	17.7	0.2	71.4
Dim-23	31316	5.84	14.9	19.9	0.3	71.5
